Combo,LightGBM,CatBoost,XGBoost,LOI
1,6.8500000000000005,4.15,6.3718941942839695,"(10, 9, 8, 7, 6)"
2,6.625,4.375,6.319513481537141,"(10, 9, 8, 6, 7)"
3,7.075,3.9250000000000003,6.311317981533682,"(10, 9, 7, 8, 6)"
4,6.625,4.375,6.206556556040026,"(10, 9, 7, 6, 8)"
5,7.075,3.9250000000000003,6.198361056036565,"(10, 9, 6, 8, 7)"
6,6.8500000000000005,4.15,6.145980343289738,"(10, 9, 6, 7, 8)"
7,6.625,4.375,6.368932197706907,"(10, 8, 9, 7, 6)"
8,6.3999999999999995,4.6,6.316551484960079,"(10, 8, 9, 6, 7)"
9,7.075,3.9250000000000003,6.24777977220633,"(10, 8, 7, 9, 6)"
10,6.3999999999999995,4.6,6.090637633965846,"(10, 8, 7, 6, 9)"
11,7.075,3.925,6.134822846709214,"(10, 8, 6, 9, 7)"
12,6.625,4.375,6.030061421215558,"(10, 8, 6, 7, 9)"
13,6.625,4.375,6.305393988379555,"(10, 7, 9, 8, 6)"
14,6.175,4.824999999999999,6.200632562885899,"(10, 7, 9, 6, 8)"
15,6.8500000000000005,4.15,6.244817775629267,"(10, 7, 8, 9, 6)"
16,6.175,4.824999999999999,6.0876756373887835,"(10, 7, 8, 6, 9)"
17,6.8500000000000005,4.15,6.018903924635036,"(10, 7, 6, 9, 8)"
18,6.625,4.375,5.966523211888207,"(10, 7, 6, 8, 9)"
19,6.3999999999999995,4.6,6.189475066305376,"(10, 6, 9, 8, 7)"
20,6.175,4.824999999999999,6.137094353558548,"(10, 6, 9, 7, 8)"
21,6.625,4.375,6.128898853555088,"(10, 6, 8, 9, 7)"
22,6.175,4.824999999999999,6.024137428061432,"(10, 6, 8, 7, 9)"
23,6.625,4.375,6.0159419280579725,"(10, 6, 7, 9, 8)"
24,6.3999999999999995,4.6,5.9635612153111435,"(10, 6, 7, 8, 9)"
25,6.8500000000000005,4.15,6.371894194563307,"(9, 10, 8, 7, 6)"
26,6.625,4.375,6.319513481816479,"(9, 10, 8, 6, 7)"
27,7.075,3.9250000000000003,6.311317981813019,"(9, 10, 7, 8, 6)"
28,6.625,4.375,6.206556556319363,"(9, 10, 7, 6, 8)"
29,7.075,3.9250000000000003,6.198361056315902,"(9, 10, 6, 8, 7)"
30,6.8500000000000005,4.15,6.145980343569075,"(9, 10, 6, 7, 8)"
31,6.4,4.6,6.365970201409181,"(9, 8, 10, 7, 6)"
32,6.175,4.824999999999999,6.313589488662353,"(9, 8, 10, 6, 7)"
33,7.075,3.925,6.1842415631583165,"(9, 8, 7, 10, 6)"
34,6.175,4.824999999999999,5.974718712171004,"(9, 8, 7, 6, 10)"
35,7.075,3.925,6.0712846376612,"(9, 8, 6, 10, 7)"
36,6.4,4.6,5.914142499420716,"(9, 8, 6, 7, 10)"
37,6.4,4.6,6.30243199208183,"(9, 7, 10, 8, 6)"
38,5.95,5.05,6.197670566588174,"(9, 7, 10, 6, 8)"
39,6.8500000000000005,4.15,6.181279566581253,"(9, 7, 8, 10, 6)"
40,5.95,5.05,5.971756715593942,"(9, 7, 8, 6, 10)"
41,6.8500000000000005,4.15,5.95536571558702,"(9, 7, 6, 10, 8)"
42,6.4,4.6,5.850604290093365,"(9, 7, 6, 8, 10)"
43,6.175,4.825,6.18651307000765,"(9, 6, 10, 8, 7)"
44,5.95,5.05,6.134132357260823,"(9, 6, 10, 7, 8)"
45,6.625,4.375,6.0653606445070745,"(9, 6, 8, 10, 7)"
46,5.95,5.05,5.908218506266591,"(9, 6, 8, 7, 10)"
47,6.625,4.375,5.952403719009959,"(9, 6, 7, 10, 8)"
48,6.175,4.825,5.847642293516303,"(9, 6, 7, 8, 10)"
49,6.625,4.375,6.368932198265581,"(8, 10, 9, 7, 6)"
50,6.3999999999999995,4.6,6.316551485518753,"(8, 10, 9, 6, 7)"
51,7.075,3.9250000000000003,6.247779772765005,"(8, 10, 7, 9, 6)"
52,6.3999999999999995,4.6,6.090637634524521,"(8, 10, 7, 6, 9)"
53,7.075,3.925,6.1348228472678885,"(8, 10, 6, 9, 7)"
54,6.625,4.375,6.030061421774232,"(8, 10, 6, 7, 9)"
55,6.4,4.6,6.365970201688518,"(8, 9, 10, 7, 6)"
56,6.175,4.824999999999999,6.31358948894169,"(8, 9, 10, 6, 7)"
57,7.075,3.925,6.184241563437654,"(8, 9, 7, 10, 6)"
58,6.175,4.824999999999999,5.974718712450342,"(8, 9, 7, 6, 10)"
59,7.075,3.925,6.071284637940537,"(8, 9, 6, 10, 7)"
60,6.4,4.6,5.914142499700054,"(8, 9, 6, 7, 10)"
61,6.4,4.6,6.238893783033815,"(8, 7, 10, 9, 6)"
62,5.725,5.275,6.081751644793331,"(8, 7, 10, 6, 9)"
63,6.625,4.375,6.178317570283527,"(8, 7, 9, 10, 6)"
64,5.725,5.275,5.968794719296216,"(8, 7, 9, 6, 10)"
65,6.625,4.375,5.839446793792179,"(8, 7, 6, 10, 9)"
66,6.4,4.6,5.787066081045351,"(8, 7, 6, 9, 10)"
67,6.175,4.825,6.122974860959636,"(8, 6, 10, 9, 7)"
68,5.725,5.275,6.01821343546598,"(8, 6, 10, 7, 9)"
69,6.3999999999999995,4.6,6.062398648209348,"(8, 6, 9, 10, 7)"
70,5.725,5.275,5.905256509968865,"(8, 6, 9, 7, 10)"
71,6.3999999999999995,4.6,5.836484797215116,"(8, 6, 7, 10, 9)"
