iter	Accuracy	MultiClass
0	0.8445544798	1.329221088
1	0.8453301024	1.101015995
2	0.8667377343	0.9361549268
3	0.8681120569	0.8221811076
4	0.8790103384	0.7227533129
5	0.8884170953	0.6474460809
6	0.8910015087	0.5833078148
7	0.8934903689	0.5269721506
8	0.8973923702	0.4807046504
9	0.9001104086	0.4371295977
10	0.9034547679	0.4014525432
11	0.9086885409	0.3727414766
12	0.9122449086	0.3433415565
13	0.9160506103	0.319889844
14	0.9202116502	0.2991994108
15	0.924710112	0.280370747
16	0.9280283434	0.2648434586
17	0.9327253766	0.25038761
18	0.9336950915	0.2374876322
19	0.9370939459	0.2263766132
20	0.938592189	0.2176893301
21	0.9411191212	0.2066002044
22	0.9421522893	0.1998302155
23	0.9438692594	0.1910376867
24	0.9460729533	0.1826285918
25	0.9474398109	0.1770062101
26	0.9486349714	0.1713703344
27	0.9500324358	0.1661168284
28	0.9510969573	0.1612424418
29	0.9523182456	0.1573557048
30	0.9530296685	0.1546231206
31	0.9544383305	0.1498067469
32	0.9573131358	0.1459320854
33	0.9581372815	0.141933537
34	0.9590278664	0.1386869913
35	0.960309622	0.1344563023
36	0.960435782	0.132057965
37	0.9612188697	0.1301306597
38	0.9621139337	0.1275397304
39	0.96307693	0.1244140175
40	0.9635554421	0.122498096
41	0.9647058121	0.1194992301
42	0.9651298291	0.1180818473
43	0.9655799739	0.116256769
44	0.966614635	0.1139608679
45	0.9668333621	0.1123898123
46	0.9676030126	0.1104127195
47	0.9680247901	0.1084444259
48	0.9683054774	0.107468724
49	0.9689362773	0.1055249997
50	0.9693229688	0.1042179131
51	0.9699358525	0.1024307228
52	0.9707823934	0.1006950769
53	0.9710675598	0.09932258508
54	0.9712265662	0.09807276395
55	0.9715639881	0.09715897238
56	0.9722567483	0.0960768081
57	0.9727412324	0.09431519614
58	0.9731757005	0.0931378988
59	0.9734825156	0.09225720809
60	0.9739251953	0.091102083
61	0.97415512	0.08985278429
62	0.9744119191	0.08896045377
63	0.9747000714	0.08810116817
64	0.9749725471	0.08745007947
65	0.9751487232	0.08654014389
66	0.9756160377	0.08536165463
67	0.9757018862	0.0849143956
68	0.9762990932	0.08357685613
69	0.9763423907	0.08286901172
70	0.9766730941	0.08192057499
71	0.9770105161	0.08103454141
72	0.9771680294	0.08041787844
73	0.9774016867	0.07974656483
74	0.9776420625	0.07912972242
75	0.9781967185	0.07828305516
76	0.9785722124	0.0775308531
77	0.9787894465	0.07685913001
78	0.9789357622	0.07623753799
79	0.9791567288	0.07570888017
80	0.9791529962	0.07519080977
81	0.9793015515	0.07471327455
82	0.9798674051	0.07392694234
83	0.9800413417	0.07332098136
84	0.9804295262	0.0724630051
85	0.9805915186	0.07170272627
86	0.980835627	0.07135455002
87	0.9809490963	0.07099870774
88	0.9809923938	0.07051257348
89	0.9813230972	0.06977409812
90	0.9813417599	0.06942760889
91	0.9816657447	0.06887500601
92	0.9818493859	0.06837965871
93	0.9819516576	0.06766693754
94	0.9819747994	0.06721441591
95	0.9823599979	0.06649722274
96	0.9825413995	0.0659371548
97	0.9826533758	0.06562298868
98	0.9825876831	0.06523538071
99	0.9828698634	0.06461822871
100	0.98296467	0.06433547387
101	0.9831012811	0.06391046016
102	0.9833282197	0.06331808665
103	0.9837380531	0.06288128352
104	0.9838268876	0.06256279697
105	0.9838709316	0.0622588032
106	0.9840053032	0.0618822184
107	0.9843173439	0.06127224212
108	0.9843584018	0.06104806568
109	0.9842598627	0.06078995299
110	0.9841956629	0.06049935972
111	0.9847212051	0.06000413941
112	0.984880958	0.05962667336
113	0.98501309	0.05922403131
114	0.9851228268	0.05893944134
115	0.9852079288	0.058643949
116	0.985476672	0.05835259593
117	0.9855655065	0.05814151252
118	0.9857163013	0.05779940158
119	0.9857931917	0.05739077871
120	0.985906661	0.05706109992
121	0.985993256	0.05682532619
122	0.9861141905	0.05649196979
123	0.9861470368	0.05631929241
124	0.9862418435	0.05590700053
125	0.9863045502	0.05574920054
126	0.9864837123	0.05542221047
127	0.9865262633	0.05517341216
128	0.9865904631	0.05487488245
129	0.9866262955	0.0545101048
130	0.9868786154	0.05409755651
131	0.9869569989	0.05385663833
132	0.9870532985	0.05358740903
133	0.9872309676	0.0532912759
134	0.9873086045	0.05303977545
135	0.9874101297	0.05276157683
136	0.9873675787	0.05260754187
137	0.9874676109	0.05239103602
138	0.9875347966	0.05217757945
