iter	Passed	Remaining
0	1208	240465
1	2348	232496
2	3486	228923
3	4617	226243
4	5735	223669
5	6839	221132
6	7980	220047
7	9097	218329
8	10242	217370
9	11412	216839
10	12556	215736
11	13644	213767
12	14729	211880
13	15851	210592
14	16964	209229
15	18101	208161
16	19195	206629
17	20316	205417
18	21410	203961
19	22516	202651
20	23619	201327
21	24733	200118
22	25818	198693
23	26909	197336
24	28055	196388
25	29151	195089
26	30247	193808
27	31351	192585
28	32457	191389
29	33580	190287
30	34730	189339
31	35900	188478
32	37114	187822
33	38259	186797
34	39515	186285
35	40654	185202
36	41745	183904
37	42842	182644
38	43948	181427
39	45061	180246
40	46176	179075
41	47275	177847
42	48352	176543
43	49453	175334
44	50583	174232
45	51728	173177
46	52905	172224
47	54014	171044
48	55159	169982
49	56289	168868
50	57403	167707
51	58511	166533
52	59612	165341
53	60720	164170
54	61828	163001
55	62926	161810
56	64054	160697
57	65144	159492
58	66250	158327
59	67355	157162
60	68479	156044
61	69582	154877
62	70726	153802
63	71850	152681
64	72943	151498
65	74065	150374
66	75220	149317
67	76337	148184
68	77456	147055
69	78551	145880
70	79668	144749
71	80781	143611
72	81919	142517
73	83041	141395
74	84115	140192
75	85198	139008
76	86290	137841
77	87417	136730
78	88545	135620
79	89655	134482
80	90759	133338
81	91915	132268
82	93093	131228
83	94276	130190
84	95458	129149
85	96595	128044
86	97700	126898
87	98800	125746
88	99966	124677
89	101062	123521
90	102151	122357
91	103241	121196
92	104342	120050
93	105475	118940
94	106606	117828
95	107715	116692
96	108837	115569
97	109934	114421
98	111042	113286
99	112194	112194
100	113310	111066
101	114428	109941
102	115541	108811
103	116642	107670
104	117743	106529
105	118832	105379
106	119920	104230
107	121036	103105
108	122135	101966
109	123254	100844
110	124395	99740
111	125517	98620
112	126626	97491
113	127753	96375
114	128857	95242
115	129976	94120
116	131092	92997
117	132187	91859
118	133295	90730
119	134403	89602
120	135525	88483
121	136668	87377
122	137841	86290
123	138982	85182
124	140131	84078
125	141275	82971
126	142433	81871
127	143588	80768
128	144785	79688
129	145997	78613
130	147173	77518
131	148455	76477
132	149663	75394
133	150866	74307
134	152054	73211
135	153268	72126
136	154508	71051
137	155717	69959
138	156936	68871
139	158093	67754
140	159251	66637
141	160427	65526
142	161584	64407
143	162756	63294
144	163923	62177
145	165077	61056
146	166232	59934
147	167396	58814
148	168545	57689
149	169719	56573
150	170873	55449
151	172008	54318
152	173124	53182
153	174280	52057
154	175424	50929
155	176575	49803
156	177755	48684
157	178924	47562
158	180064	46431
159	181228	45307
160	182388	44181
161	183541	43052
162	184762	41939
163	185924	40812
164	187072	39681
165	188233	38553
166	189365	37419
167	190500	36285
168	191661	35156
169	192820	34027
170	193975	32896
171	195141	31767
172	196305	30637
173	197461	29505
174	198603	28371
175	199774	27242
176	200925	26108
177	202086	24976
178	203224	23841
179	204363	22707
180	205543	21576
181	206714	20444
182	207857	19309
183	209028	18176
184	210183	17041
185	211323	15906
186	212477	14771
187	213642	13636
188	214805	12501
189	215982	11367
190	217162	10232
191	218311	9096
192	219473	7960
193	220608	6822
194	221794	5687
195	222986	4550
196	224154	3413
197	225317	2275
198	226451	1137
199	227600	0
