,Ammonia (mg/l),Ammonia (mg/l),Ammonia (mg/l),Ammonia (mg/l),Ammonia (mg/l),Ammonia (mg/l),Ammonia (mg/l),Ammonia (mg/l),Biochemical Oxygen Demand (mg/l),Biochemical Oxygen Demand (mg/l),Biochemical Oxygen Demand (mg/l),Biochemical Oxygen Demand (mg/l),Biochemical Oxygen Demand (mg/l),Biochemical Oxygen Demand (mg/l),Biochemical Oxygen Demand (mg/l),Biochemical Oxygen Demand (mg/l),Dissolved Oxygen (mg/l),Dissolved Oxygen (mg/l),Dissolved Oxygen (mg/l),Dissolved Oxygen (mg/l),Dissolved Oxygen (mg/l),Dissolved Oxygen (mg/l),Dissolved Oxygen (mg/l),Dissolved Oxygen (mg/l),pH (ph units),pH (ph units),pH (ph units),pH (ph units),pH (ph units),pH (ph units),pH (ph units),pH (ph units),Nitrate (mg/l),Nitrate (mg/l),Nitrate (mg/l),Nitrate (mg/l),Nitrate (mg/l),Nitrate (mg/l),Nitrate (mg/l),Nitrate (mg/l),CCME_Values,CCME_Values,CCME_Values,CCME_Values,CCME_Values,CCME_Values,CCME_Values,CCME_Values
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43054.0,0.11055751127632742,0.13983128777477014,0.0,0.038000000000000006,0.04300000000000001,0.117,0.9619999999999999,43054.0,2.1259324295071305,1.882129146517874,0.10000000000000009,1.4,1.425,2.7,50.4,43054.0,4.6741706113725945,1.4588418787817925,0.0,3.9689999999999994,4.8375,5.46,7.883999999999999,43054.0,7.450907749180912,0.161523820778202,7.143333333,7.3,7.46,7.6,7.96,43054.0,1.8967211701132998,1.7176402399198527,0.0,0.7842500000000006,1.3000000000000003,2.52,10.0,43054.0,93.98802826335789,9.438350262657668,42.27059912611783,90.01205478598169,100.0,100.0,100.0
1,89817.0,0.06961801168603939,0.06823334211717304,0.0,0.03,0.035,0.08162,0.5,89817.0,2.3546558736467706,1.5640266254821367,0.0,1.4,2.7,2.7,43.8,89817.0,10.067692612756314,1.103064824368535,4.12,9.48,10.2,10.6,16.3,89817.0,7.754360576060211,0.14631727748986395,7.15,7.7,7.78,7.82,8.29,89817.0,7.98466494336099,1.092822231045763,5.66,7.06,7.9,8.89,10.010000000000002,89817.0,92.58586465002989,7.0315333467034975,66.91619524864623,88.65165122642075,92.78546826884994,100.0,100.0
2,90478.0,0.47000145469356086,0.08304926953943612,0.202,0.417,0.5,0.5,0.8,90478.0,3.602881049794779,3.33492563751468,0.0,2.0,2.75,3.89,44.8,90478.0,10.30353954348887,0.8982496173989102,4.42,10.2,10.2,10.2,19.5,90478.0,7.878959770269534,0.16593820655211394,7.6,7.78,7.78,7.98,8.43,90478.0,4.263682896633249,1.5483310914829183,0.0009999999999998899,4.5,4.5,4.5,10.0,90478.0,83.74925480184149,8.164473669522597,56.46948161821116,74.9543142285986,84.68281994273696,89.63393600613695,100.0
3,148648.0,0.0636859843823933,0.05063594314567953,0.0,0.03,0.03900000000000002,0.091,0.444,148648.0,2.341812709797643,1.8160488401792252,0.0,1.39,2.7,2.7,44.0,148648.0,10.807691024647252,1.049070094157319,7.42,10.2,10.5,11.684103383014412,18.3,148648.0,8.15844164937749,0.12292420006369187,7.9,8.06,8.14,8.25,8.43,148648.0,4.54493914563049,0.8010229163329629,0.9369999999999998,4.34,4.5,4.83,7.47,148648.0,90.5355115384626,6.599928619898126,56.7010856570525,88.54228798823753,89.63393600613695,93.11672543579722,100.0
4,3346.0,0.24776671341213388,0.24721340381379744,0.0050000000000000044,0.032,0.098,0.5,0.97,3346.0,83.80322518629109,28.731008294737702,42.99999999999999,58.1,78.9,108.0,141.0,3346.0,10.17811773645314,1.4471830897934022,0.02999999999999936,10.2,10.2,10.2,17.6,3346.0,7.736943464833831,0.2629972126560938,7.15,7.59,7.78,7.85,8.43,3346.0,3.9149215281930663,2.0493840819824376,0.010099999999999554,2.69,4.5,4.5,10.0,3346.0,63.3992110699286,7.653805435063535,39.5903256633136,59.54741725826014,63.84736038506304,68.77557978594669,78.7962433671159
5,110176.0,0.04790684516671509,0.04756766397503229,0.0,0.03,0.03,0.044,0.5,110176.0,2.113392608745099,1.44686447855574,-2.0000000000000004,1.4,1.77,2.7,44.0,110176.0,11.008268668931654,1.1506914363100387,7.35,10.2,11.3,11.684103383014412,20.0,110176.0,8.174041782990443,0.12187460666517505,7.94,8.1,8.18,8.28,8.43,110176.0,1.3586529086157968,0.7940784159238761,0.0,0.7869999999999999,1.3000000000000003,1.86,3.68,110176.0,97.21272822104157,4.871270183802769,52.33758381415314,93.14237274794424,100.0,100.0,100.0
6,76205.0,0.5517027832819368,0.12349604460498796,0.132,0.5,0.5,0.5570000000000002,0.97,76205.0,4.419857270913982,3.808178564332168,0.23999999999999977,2.77,3.08,4.71,48.3,76205.0,10.134784801444304,0.9487455844427423,0.16999999999999993,10.2,10.2,10.2,19.6,76205.0,7.652002572009711,0.2542230447537278,7.15,7.47,7.7,7.8,8.43,76205.0,4.868692027644735,1.530484053295716,0.0,4.5,4.5,4.5,10.0,76205.0,49.92965557311251,6.067509841487943,36.152814711603945,45.5494317845289,48.147982853019165,53.42751809621151,70.71435629746259
7,61609.0,0.05922017311303545,0.07507596643809122,0.0,0.03,0.038000000000000006,0.05,0.928,61609.0,1.744599047054716,1.1020319324082413,0.0,1.4,1.4,1.88,42.99999999999999,61609.0,4.675066976545556,1.1625137535142442,0.0,4.392,4.8375,5.111999999999999,7.649999999999999,61609.0,7.96687470457563,0.19153555893989901,7.67,7.8,7.91,8.1,8.43,61609.0,1.5616147353346754,1.3097297360436415,0.0,0.7799999999999998,1.3000000000000003,1.8,10.0,61609.0,98.29204821719983,4.308703744605131,43.5623174255276,100.0,100.0,100.0,100.0
8,217882.0,0.0423756079425882,0.045266120128428226,0.0,0.02100000000000002,0.03,0.038000000000000006,0.462,217882.0,2.0633677002630004,1.2841621832889847,0.0,1.6,1.6,2.7,44.2,217882.0,9.614742346257097,0.7496961853196529,6.76,9.22,9.87,10.2,10.9,217882.0,7.794910810574164,0.09737347488738336,7.44,7.78,7.8,7.8,8.2,217882.0,1.074520707863339,0.6377842954687327,0.0,0.7840000000000007,0.8999999999999999,1.3000000000000003,3.88,217882.0,97.77906480491204,4.331478712284928,67.43537329934978,100.0,100.0,100.0,100.0
9,43108.0,0.4803745195983112,0.09855230654535044,0.176,0.418,0.5,0.5,0.876,43108.0,3.7788856233733874,3.4608830113377183,0.3999999999999999,2.23,2.85,4.0,45.8,43108.0,10.176745242476104,1.132436380914715,3.63,10.2,10.2,10.2,19.8,43108.0,7.427110117311241,0.13965330914927576,7.145,7.3,7.43,7.55,7.69,43108.0,4.0752215277725945,1.7200732429767212,0.0,3.31,4.5,4.5,10.0,43108.0,82.99768645404961,8.581779967715402,57.82336360836761,74.33718973029464,84.01334981255299,89.63393600613695,100.0
10,106211.0,0.0539331065563454,0.054826778161642824,0.0,0.03,0.03,0.05499999999999999,0.448,106211.0,2.042289013185282,1.568765423023758,-0.020000000000000018,1.4,1.6,2.7,44.599999999999994,106211.0,10.716003422531418,1.130717895258522,7.38,9.87,10.7,11.684103383014412,17.2,106211.0,7.376052016775551,0.11687958163119848,7.144444444,7.3,7.4,7.49,7.61,106211.0,1.2105563890064777,0.7660995647933794,0.0,0.6789999999999998,1.0900000000000003,1.56,3.96,106211.0,97.86282163933181,4.4516967629868756,53.12483911255561,100.0,100.0,100.0,100.0
11,81676.0,0.06984603201574514,0.06668832140234034,0.0010000000000000009,0.03,0.04000000000000001,0.082,0.6,81676.0,2.294828486491356,1.615010754021336,0.4500000000000002,1.4,2.7,2.7,44.13,81676.0,11.477150336447334,1.2463782696900552,6.93,10.7,11.6,12.1,20.0,81676.0,8.11759003273096,0.13842060168840184,7.52,8.01,8.1,8.2,8.43,81676.0,7.797345136200376,1.1373093372664451,3.41,6.88,7.68,8.69,10.01564,81676.0,88.60691948155603,8.322395678154178,52.30320564515085,83.84728346130723,90.01635269711103,93.06947965651386,100.0
12,32902.0,0.7982332401084433,0.09834334941921352,0.54,0.718,0.8,0.88,0.97,32902.0,4.832859618665522,4.518066615779838,0.10000000000000009,2.7,3.11,5.9,50.6,32902.0,9.916112247492583,1.5335824907081446,9.999999999976694e-05,10.2,10.2,10.2,18.85,32902.0,7.731212619326667,0.20799114016425865,7.15,7.61,7.78,7.79,8.43,32902.0,4.285469821819251,1.8496499270024909,0.0,4.15,4.5,4.5,10.0,32902.0,78.03722200641683,8.150194891628665,48.03547582633423,73.22302777714789,79.46421860780092,83.37138969617693,93.10212742440228
13,120165.0,0.05550091957374445,0.05853463799037782,0.0,0.03,0.03,0.05729999999999999,0.571,120165.0,2.085691583695452,1.4064186351090273,0.0,1.4,1.6,2.7,44.4,120165.0,11.923311141980824,0.8696400172423884,10.6,11.684103383014412,11.684103383014412,12.1,20.0,120165.0,7.775407825263371,0.11838363238793363,7.15,7.7,7.8,7.85,8.32,120165.0,1.3717042242021305,0.8939589377084654,0.0,0.8450000000000002,1.3000000000000003,1.85,6.6,120165.0,97.26496727634496,4.960955294927523,45.00620781560594,93.17599665971431,100.0,100.0,100.0
14,77433.0,0.10172808152690714,0.08067181788193419,0.0,0.037000000000000005,0.073,0.141,0.5,77433.0,2.6529367765619827,2.9207682668819936,0.16999999999999993,1.43,2.25,2.7,45.3,77433.0,9.835245286660543,1.4411871424366374,1.9529999999999994,9.04,10.2,10.4,19.0,77433.0,7.836167287205919,0.23186339077891874,7.15,7.7,7.8,8.0,8.43,77433.0,5.601402638133548,2.0633346839664184,1.0000000000065512e-05,4.5,4.82,7.130000000000001,10.0,77433.0,61.95219684446672,8.215408996017755,39.96980087515293,56.22578117172075,63.01592986821492,68.43797832780562,78.41238002771499
15,73255.0,0.08043501976839806,0.06576712421547766,0.0,0.03,0.05499999999999999,0.098,0.5,73255.0,2.39281921149542,1.8574457956321768,0.0,1.4,2.7,2.7,42.0,73255.0,8.219497189065237,0.940601460416256,2.4749999999999996,7.7,8.41,8.89,10.3,73255.0,7.901434928400778,0.1621503962579971,7.38,7.78,7.9,8.0,8.43,73255.0,4.361924431500403,1.439794986221135,0.0040000000000000036,3.46,4.5,5.18,10.0,73255.0,85.45009443618622,7.579782537407668,50.99868411538829,80.11796597512463,86.86314309942807,89.90441139915322,100.0
