iter	Passed	Remaining
0	1337	266150
1	2534	250936
2	3674	241314
3	4767	233603
4	5863	228689
5	6966	225249
6	8066	222394
7	9137	219311
8	10230	217118
9	11321	215113
10	12410	213230
11	13496	211445
12	14565	209524
13	15672	208224
14	16750	206585
15	17824	204986
16	18910	203565
17	19990	202121
18	21061	200643
19	22134	199208
20	23227	197984
21	24332	196872
22	25429	195696
23	26526	194527
24	27586	193107
25	28658	191790
26	29718	190416
27	30779	189074
28	31859	187863
29	32923	186567
30	33994	185323
31	35057	184050
32	36124	182813
33	37173	181492
34	38245	180299
35	39299	179031
36	40375	177872
37	41445	176687
38	42491	175414
39	43554	174219
40	44608	172995
41	45661	171773
42	46725	170600
43	47828	169572
44	48884	168381
45	49934	167172
46	50989	165985
47	52075	164906
48	53176	163869
49	54227	162683
50	55270	161476
51	56316	160285
52	57371	159126
53	58445	158019
54	59515	156905
55	60559	155723
56	61631	154618
57	62679	153457
58	63749	152351
59	64877	151380
60	65981	150351
61	67074	149294
62	68223	148358
63	69272	147204
64	70378	146170
65	71423	145011
66	72468	143854
67	73543	142760
68	74610	141652
69	75675	140541
70	76737	139424
71	77814	138337
72	78860	137195
73	79914	136071
74	80968	134947
75	82033	133844
76	83084	132718
77	84160	131634
78	85214	130517
79	86268	129402
80	87315	128278
81	88352	127141
82	89424	126056
83	90479	124947
84	91533	123839
85	92580	122722
86	93651	121639
87	94759	120602
88	95813	119497
89	96851	118374
90	97895	117259
91	98940	116147
92	99989	115041
93	101049	113949
94	102106	112855
95	103155	111752
96	104212	110659
97	105259	109555
98	106311	108459
99	107366	107366
100	108418	106271
101	109470	105177
102	110515	104077
103	111567	102985
104	112612	101887
105	113660	100792
106	114707	99698
107	115763	98613
108	116819	97528
109	117894	96459
110	118946	95371
111	119981	94270
112	121020	93175
113	122073	92090
114	123119	91001
115	124188	89929
116	125252	88854
117	126326	87786
118	127398	86716
119	128453	85635
120	129499	84549
121	130559	83472
122	131602	82385
123	132669	81313
124	133714	80228
125	134758	79143
126	135820	78070
127	136871	76990
128	137927	75913
129	138981	74836
130	140016	73749
131	141057	72666
132	142123	71596
133	143182	70522
134	144244	69450
135	145309	68380
136	146353	67301
137	147393	66220
138	148429	65138
139	149495	64069
140	150537	62990
141	151582	61913
142	152630	60838
143	153689	59768
144	154727	58689
145	155767	57612
146	156805	56535
147	157839	55457
148	158877	54380
149	159915	53305
150	160980	52238
151	162039	51170
152	163134	50113
153	164215	49051
154	165275	47983
155	166339	46916
156	167381	45843
157	168444	44776
158	169483	43703
159	170545	42636
160	171587	41564
161	172626	40492
162	173681	39424
163	174723	38354
164	175772	37285
165	176814	36215
166	177868	35147
167	178911	34078
168	179959	33010
169	180999	31941
170	182034	30871
171	183108	29808
172	184166	28742
173	185278	27685
174	186332	26618
175	187377	25551
176	188422	24484
177	189475	23418
178	190536	22353
179	191588	21287
180	192645	20222
181	193733	19160
182	194786	18094
183	195863	17031
184	196903	15965
185	197952	14899
186	198998	13834
187	200048	12769
188	201125	11705
189	202183	10641
190	203246	9577
191	204311	8512
192	205373	7448
193	206462	6385
194	207534	5321
195	208584	4256
196	209640	3192
197	210763	2128
198	211848	1064
199	212964	0
