iter	Passed	Remaining
0	1659	496083
1	2949	439407
2	4267	422436
3	5515	408153
4	6715	396209
5	7916	387885
6	9237	386652
7	10479	382506
8	11664	377141
9	12871	373269
10	14105	370598
11	15321	367705
12	16559	365574
13	17817	363976
14	19029	361560
15	20222	358951
16	21394	356151
17	22628	354509
18	23841	352597
19	25037	350518
20	26226	348435
21	27392	346142
22	28566	344039
23	29763	342284
24	30933	340272
25	32198	339325
26	33353	337241
27	34480	334952
28	35605	332730
29	36735	330620
30	37880	328706
31	39085	327343
32	40255	325702
33	41408	323960
34	42611	322631
35	43798	321187
36	45067	320345
37	46318	319351
38	47541	318164
39	48763	316965
40	50010	315919
41	51219	314632
42	52438	313410
43	53701	312445
44	54930	311272
45	56164	310126
46	57417	309079
47	58673	308034
48	59887	306769
49	61104	305523
50	62325	304293
51	63574	303202
52	64816	302067
53	66015	300738
54	67233	299494
55	68456	298276
56	69686	297083
57	70892	295793
58	72132	294643
59	73334	293338
60	74616	292351
61	75924	291451
62	77164	290285
63	78375	289008
64	79600	287787
65	80816	286532
66	82022	285243
67	83277	284121
68	84555	283076
69	85838	282039
70	87059	280798
71	88275	279537
72	89490	278277
73	90753	277166
74	91981	275944
75	93263	274881
76	94494	273664
77	95710	272406
78	96938	271181
79	98143	269893
80	99344	268598
81	100531	267266
82	101780	266101
83	103020	264909
84	104296	263809
85	105560	262674
86	106851	261601
87	108062	260332
88	109284	259089
89	110442	257699
90	111650	256427
91	112815	255062
92	114019	253784
93	115209	252480
94	116394	251168
95	117574	249846
96	118723	248461
97	119857	247052
98	121047	245763
99	122280	244561
100	123501	243334
101	124656	241979
102	125861	240726
103	127050	239440
104	128193	238073
105	129324	236688
106	130482	235356
107	131636	234019
108	132832	232761
109	133980	231420
110	135120	230069
111	136271	228741
112	137415	227404
113	138533	226028
114	139659	224670
115	140786	223317
116	141918	221975
117	143081	220684
118	144205	219337
119	145313	217970
120	146438	216632
121	147601	215352
122	148867	214223
123	150012	212920
124	151262	211766
125	152490	210581
126	153742	209428
127	154914	208166
128	156080	206897
129	157227	205605
130	158337	204267
131	159498	202997
132	160641	201708
133	161812	200453
134	162924	199130
135	164012	197779
136	165140	196481
137	166265	195181
138	167365	193854
139	168757	192865
140	170025	191731
141	171165	190451
142	172314	189184
143	173506	187964
144	174654	186699
145	175813	185447
146	176941	184163
147	178103	182917
148	179215	181621
149	180440	180440
150	181710	179303
151	182958	178143
152	184179	176956
153	185379	175749
154	186569	174533
155	187675	173238
156	188820	171982
157	190011	170769
158	191138	169500
159	192304	168266
160	193533	167087
161	194748	165896
162	195903	164654
163	197013	163377
164	198391	162320
165	199594	161118
166	200829	159942
167	201993	158709
168	203161	157480
169	204321	156245
170	205442	154982
171	206583	153736
172	207734	152498
173	208905	151276
174	210060	150043
175	211222	148816
176	212340	147558
177	213466	146308
178	214632	145087
179	215790	143860
180	216954	142638
181	218127	141423
182	219245	140173
183	220396	138945
184	221554	137723
185	222716	136503
186	223896	135295
187	225023	134056
188	226205	132850
189	227351	131624
190	228563	130436
191	229800	129262
192	231019	128078
193	232261	126905
194	233444	125700
195	234650	124508
196	235792	123282
197	236981	122081
198	238134	120862
199	239281	119640
200	240424	118418
201	241619	117221
202	242957	116093
203	244246	114939
204	245472	113755
205	246710	112576
206	248048	111442
207	249423	110322
208	250676	109146
209	251899	107957
210	253216	106807
211	254570	105670
212	255837	104497
213	257080	103312
214	258307	102121
215	259548	100935
216	261005	99831
217	262527	98748
218	263842	97585
219	265180	96429
220	266522	95272
221	267813	94096
222	269089	92914
223	270360	91729
224	271599	90533
225	272816	89329
226	274131	88156
227	275406	86970
228	276741	85802
229	278028	84617
230	279293	83425
231	280571	82236
232	281820	81038
233	283039	79831
234	284303	78637
235	285713	77481
236	287057	76306
237	288360	75119
238	289654	73928
239	290936	72734
240	292270	71551
241	293552	70355
242	294788	69147
243	296029	67941
244	297241	66727
245	298476	65519
246	299746	64318
247	300987	63110
248	302276	61912
249	303526	60705
250	304831	59509
251	306168	58317
252	307432	57111
253	308668	55900
254	309905	54689
255	311159	53480
256	312390	52267
257	313610	51052
258	314839	49839
259	316104	48631
260	317350	47420
261	318595	46208
262	319861	44999
263	321125	43789
264	322461	42589
265	323718	41377
266	324937	40160
267	326185	38947
268	327407	37731
269	328693	36521
270	329927	35305
271	331176	34091
272	332408	32875
273	333623	31657
274	334840	30440
275	336073	29223
276	337307	28007
277	338561	26792
278	339832	25578
279	341055	24361
280	342295	23144
281	343572	21930
282	344793	20711
283	346018	19494
284	347245	18276
285	348479	17058
286	349692	15839
287	350914	14621
288	352132	13402
289	353341	12184
290	354568	10966
291	355803	9748
292	357040	8529
293	358278	7311
294	359506	6093
295	360718	4874
296	361966	3656
297	363195	2437
298	364411	1218
299	365637	0
